Plate Type,Violation Code,Vehicle Body Type,Vehicle Make,Violation Location,Violation Time,Violation County,Vehicle Color,Violation In Front Of Or Opposite
PAS,20,SDN,CHEVR,84.0,Morning,K,SILVE,F
PAS,46,VAN,TOYOT,46.0,Morning,BX,GY,F
PAS,14,CONV,MINI,34.0,Morning,NY,WHITE,F
PAS,20,SUBN,SUBAR,19.0,Morning,NY,WHT,F
PAS,67,SDN,TOYOT,79.0,Morning,K,GRY,F
PAS,51,SUBN,NISSA,25.0,Morning,NY,GRAY,F
PAS,19,SDN,NISSA,25.0,Morning,NY,BLK,F
PAS,98,SDN,NISSA,121.0,Early Morning,R,GY,F
PAS,14,VAN,HONDA,60.0,Early Morning,K,BLK,F
PAS,20,SUBN,SUBAR,46.0,Morning,BX,BK,F
PAS,14,SUBN,ME/BE,13.0,Morning,NY,WH,F
PAS,50,SUBN,DODGE,70.0,Morning,K,BLK,F
PAS,67,SDN,HONDA,46.0,Early Morning,BX,TAN,F
PAS,14,SDN,HYUND,71.0,Morning,K,GRAY,F
PAS,20,SUBN,SUZUK,71.0,Morning,K,WHITE,F
PAS,98,VAN,HONDA,104.0,Early Morning,Q,GRY,F
PAS,40,SDN,CHRYS,49.0,Early Morning,BX,SILVE,F
PAS,21,SUBN,BMW,6.0,Morning,NY,BL,F
PAS,20,SDN,NISSA,110.0,Morning,Q,SILVE,O
PAS,21,4DSD,HONDA,7.0,Morning,NY,GY,F
PAS,21,4DSD,FORD,94.0,Early Morning,Kings,BK,F
PAS,21,SUBN,FORD,20.0,Morning,NY,WH,F
PAS,98,SDN,NISSA,102.0,Early Morning,Q,RED,F
PAS,20,SDN,HONDA,18.0,Morning,NY,GRY,F
PAS,40,SUBN,HONDA,73.0,Morning,K,GY,F
PAS,21,SUBN,TOYOT,1.0,Morning,NY,WH,F
PAS,21,4DSD,VOLKS,109.0,Morning,Qns,BK,O
PAS,19,SUBN,HONDA,34.0,Morning,NY,BL,F
PAS,21,4DSD,HONDA,44.0,Early Morning,Bronx,GY,F
PAS,21,4DSD,HYUND,44.0,Afternoon,Bronx,BK,O
PAS,21,SUBN,BUICK,45.0,Morning,Bronx,RD,O
PAS,21,4DSD,HONDA,45.0,Morning,Bronx,BK,F
PAS,21,SUBN,INFIN,110.0,Morning,Qns,BK,F
PAS,21,SUBN,NISSA,79.0,Morning,Kings,GY,F
PAS,21,SUBN,VOLKS,76.0,Morning,Kings,BK,F
PAS,21,SUBN,MITSU,73.0,Morning,Kings,BK,F
PAS,21,SUBN,CHEVR,34.0,Afternoon,NY,BK,F
PAS,21,SUBN,INFIN,73.0,Morning,Kings,BK,F
PAS,21,SUBN,HONDA,75.0,Afternoon,Kings,WH,F
PAS,21,SUBN,JEEP,49.0,Morning,Bronx,BK,F
PAS,21,SUBN,ACURA,47.0,Morning,Bronx,GY,F
PAS,21,SUBN,GMC,62.0,Morning,Kings,BK,F
PAS,21,SUBN,DODGE,94.0,Morning,Kings,WH,F
PAS,71,4DSD,NISSA,45.0,Early Morning,BX,GY,I
PAS,38,SUBN,GMC,120.0,Morning,R,GY,F
PAS,21,4DSD,HONDA,44.0,Morning,BX,GREY,F
PAS,21,SUBN,ME/BE,44.0,Morning,BX,BK,F
PAS,40,4DSD,AUDI,7.0,Early Morning,NY,WH,I
PAS,38,SUBN,TOYOT,5.0,Early Morning,NY,BK,O
PAS,38,4DSD,ME/BE,61.0,Morning,K,GY,O
PAS,74,4DSD,HONDA,44.0,Morning,BX,GY,O
PAS,38,4DSD,KIA,52.0,Early Morning,BX,WHITE,I
PAS,38,SUBN,ACURA,46.0,Early Morning,BX,BK,F
PAS,19,SUBN,NISSA,115.0,Early Morning,Q,BL,F
PAS,70,SUBN,CHEVR,115.0,Morning,Q,RD,F
PAS,16,SUBN,NISSA,84.0,Early Morning,K,GY,I
PAS,14,4DSD,HYUND,84.0,Early Morning,K,GY,O
PAS,68,SUBN,TOYOT,84.0,Early Morning,K,WH,O
PAS,71,4DSD,BMW,109.0,Early Morning,Q,WH,I
PAS,37,SUBN,JEEP,108.0,Early Morning,Q,GY,F
PAS,20,SUBN,FORD,103.0,Morning,Q,GY,O
PAS,20,SUBN,TOYOT,68.0,Morning,K,BL,O
PAS,38,4DSD,INFIN,103.0,Early Morning,Q,BK,I
PAS,38,SUBN,SUBAR,107.0,Early Morning,Q,GY,F
PAS,37,4DSD,LEXUS,78.0,Early Morning,K,BK,F
PAS,21,4DSD,TOYOT,70.0,Morning,K,WH,F
PAS,38,SUBN,NISSA,33.0,Morning,NY,GREY,F
PAS,38,4DSD,CHEVR,33.0,Morning,NY,WHITE,F
PAS,38,4DSD,CHRYS,109.0,Morning,Q,RD,F
PAS,31,SUBN,TOYOT,17.0,Afternoon,NY,GY,I
PAS,74,SUBN,TOYOT,40.0,Morning,BX,GY,F
PAS,21,4DSD,HONDA,46.0,Morning,BX,GREEN,F
PAS,70,PICK,CHEVR,43.0,Morning,BX,BK,F
PAS,21,SUBN,HONDA,66.0,Morning,K,LTG,F
PAS,38,2DSD,HONDA,61.0,Morning,K,BL,F
PAS,21,4DSD,AUDI,114.0,Afternoon,Q,BK,O
PAS,38,4DSD,DODGE,114.0,Morning,Q,BK,O
PAS,74,SUBN,MAZDA,112.0,Early Morning,Q,WH,O
PAS,21,SUBN,VOLKS,114.0,Morning,Q,WH,F
PAS,38,4DSD,MAZDA,108.0,Morning,Q,BL,I
PAS,37,SUBN,TOYOT,109.0,Early Morning,Q,GY,F
PAS,16,SUBN,HONDA,7.0,Early Morning,NY,BL,O
PAS,10,SUBN,HONDA,9.0,Early Morning,NY,BK,I
PAS,38,4DSD,HONDA,109.0,Early Morning,Q,BL,F
PAS,21,4DSD,TOYOT,113.0,Morning,Q,GY,F
PAS,38,4DSD,AUDI,103.0,Early Morning,Q,BK,I
PAS,38,4DSD,FORD,104.0,Early Morning,Q,WHITE,F
PAS,70,SUBN,SUBAR,109.0,Early Morning,Q,GY,F
PAS,21,4DSD,TOYOT,67.0,Morning,K,GY,F
PAS,20,SUBN,HONDA,60.0,Morning,K,GY,I
PAS,21,4DSD,NS,33.0,Morning,NY,BLACK,I
PAS,20,SUBN,NISSA,102.0,Early Morning,Q,BK,I
PAS,74,4DSD,HONDA,114.0,Early Morning,Q,GY,F
PAS,74,4DSD,BMW,78.0,Early Morning,K,BK,F
PAS,38,SUBN,CHEVR,112.0,Morning,Q,BK,F
PAS,21,SUBN,LEXUS,112.0,Morning,Q,WH,F
PAS,21,4DSD,BMW,67.0,Morning,K,BK,O
PAS,31,4DSD,TOYOT,14.0,Morning,NY,GY,F
PAS,38,SUBN,HONDA,102.0,Early Morning,Q,BK,O
PAS,37,SUBN,ACURA,106.0,Early Morning,Q,BL,F
PAS,14,SUBN,NISSA,108.0,Morning,Q,SILVE,O
PAS,21,4DSD,KIA,46.0,Afternoon,BX,WH,O
PAS,38,SUBN,FORD,122.0,Early Morning,R,BK,O
OMS,14,4DSD,DODGE,14.0,Morning,NY,BL,F
PAS,74,SUBN,HONDA,90.0,Morning,K,GREY,F
PAS,14,4DSD,NISSA,9.0,Early Morning,NY,BK,F
PAS,21,SUBN,VOLVO,88.0,Morning,K,BL,F
PAS,17,SUBN,FORD,18.0,Morning,NY,RED,F
PAS,20,SUBN,TOYOT,25.0,Morning,NY,YELLO,I
PAS,14,SUBN,SUBAR,78.0,Early Morning,K,BK,F
PAS,70,SUBN,NISSA,69.0,Afternoon,K,GREY,I
PAS,71,4DSD,ME/BE,48.0,Morning,BX,WHITE,F
PAS,40,4DSD,HONDA,46.0,Morning,BX,GY,F
PAS,21,SUBN,SUBAR,78.0,Afternoon,K,GY,F
PAS,71,2DSD,MINI,72.0,Morning,K,WH,F
PAS,40,SUBN,JEEP,62.0,Morning,K,BK,O
PAS,21,4DSD,BMW,62.0,Morning,K,BL,F
PAS,48,4DSD,HONDA,48.0,Morning,BX,BLACK,O
OMS,40,SUBN,CHEVR,33.0,Morning,NY,BK,I
PAS,21,SUBN,HONDA,67.0,Morning,K,GY,F
PAS,20,SUBN,TOYOT,7.0,Early Morning,NY,BK,F
PAS,20,4DSD,HONDA,110.0,Morning,Q,GY,I
PAS,16,4DSD,HYUND,71.0,Morning,K,RD,F
PAS,14,4DSD,HYUND,33.0,Morning,NY,WH,F
PAS,70,SUBN,BMW,72.0,Morning,K,WH,I
PAS,70,SUBN,HYUND,121.0,Early Morning,R,BK,F
PAS,17,4DSD,NISSA,84.0,Early Morning,K,BK,F
PAS,40,SUBN,BUICK,115.0,Early Morning,Q,GY,F
PAS,40,SUBN,SUBAR,34.0,Early Morning,NY,BL,I
PAS,20,VAN,RAM,19.0,Morning,NY,WH,F
PAS,21,SUBN,LEXUS,109.0,Early Morning,Q,GY,O
PAS,70,2DSD,INFIN,106.0,Morning,Q,BK,F
OMS,38,4DSD,HYUND,68.0,Morning,K,WH,O
PAS,16,SUBN,FORD,72.0,Early Morning,K,RD,F
PAS,38,SUBN,JEEP,7.0,Morning,NY,RD,O
PAS,70,SUBN,CHEVR,90.0,Early Morning,K,WHITE,O
PAS,40,4DSD,HONDA,90.0,Early Morning,K,GY,O
PAS,71,SUBN,SUBAR,83.0,Early Morning,K,BK,O
PAS,20,4DSD,HONDA,123.0,Early Morning,R,GY,F
PAS,70,SUBN,FORD,113.0,Morning,Q,BK,F
PAS,71,SUBN,SUBAR,114.0,Early Morning,Q,WH,O
PAS,21,SUBN,CHEVR,83.0,Morning,K,GY,F
